DATE,CSUSHPISA
2016-06-01,180.107
2016-07-01,180.86599999999999
2016-08-01,181.88400000000001
2016-09-01,182.847
2016-10-01,183.75400000000002
2016-11-01,184.736
2016-12-01,185.68200000000002
2017-01-01,186.79
2017-02-01,187.31400000000002
2017-03-01,188.03900000000002
2017-04-01,188.813
2017-05-01,189.707
2017-06-01,190.583
2017-07-01,191.53
2017-08-01,192.761
2017-09-01,193.80599999999998
2017-10-01,194.775
2017-11-01,195.847
2017-12-01,197.02700000000002
2018-01-01,198.19799999999998
2018-02-01,199.192
2018-03-01,200.06400000000002
2018-04-01,200.87900000000002
2018-05-01,201.657
2018-06-01,202.424
2018-07-01,203.06799999999998
2018-08-01,203.84099999999998
2018-09-01,204.393
2018-10-01,205.00599999999997
2018-11-01,205.403
2018-12-01,205.791
2019-01-01,206.24
2019-02-01,206.72099999999998
2019-03-01,207.245
2019-04-01,207.94299999999998
2019-05-01,208.597
2019-06-01,209.042
2019-07-01,209.58900000000003
2019-08-01,210.335
2019-09-01,210.96
2019-10-01,211.584
2019-11-01,212.335
2019-12-01,213.283
2020-01-01,214.449
2020-02-01,215.583
2020-03-01,216.685
2020-04-01,217.49400000000003
2020-05-01,217.738
2020-06-01,218.25400000000002
2020-07-01,219.832
2020-08-01,222.679
2020-09-01,225.87099999999998
2020-10-01,229.40400000000002
2020-11-01,232.528
2020-12-01,235.475
2021-01-01,238.695
2021-02-01,241.85299999999998
2021-03-01,245.87
2021-04-01,250.09
2021-05-01,254.56099999999998
2021-06-01,259.323
2021-07-01,263.447
2021-08-01,267.183
2021-09-01,270.225
2021-10-01,272.976
2021-11-01,276.189
2021-12-01,279.801
