,RegionID,RegionName,StateName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
1929,50089,Smiths,Alabama,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145200,145100,140000,120800,122400,126500,136400,135900,138800,137300,141700,132700,134500,137200,140400,138900,139100,140600,143300,144600,145800,141800,138700,134900,131800,124400,122700,132700,137100,149000,140000,154100,157800,171800,159200,154300,149900,155700,162600,170200,165300,158900,147000,145900,144600,142600,152200,156000,161900,151100,153200,155500,169200,163000,162800,165700,163500,172000,161400
1930,30354,Batavia,Illinois,1931,225600,221500,224800,255600,238000,227300,225600,244800,254300,255800,251000,232900,235200,228300,232300,245700,247600,255700,233600,215100,191400,194500,212600,229100,234600,255000,244900,249600,225100,239100,224300,224000,213800,217300,202400,227700,230600,245300,234000,236600,240400,235800,238900,247500,247600,229700,222300,237500,248000,230700,207000,202500,223400,228800,224300,224600,232500,246900,248700,244900,243000,235100,235300,236400,246300,256300,259400,254800,240300,216600,215900,225800,247800,257800,253500,252300,249400,255900,247900,249800,248100,258500,256200,254800,276600,277500,291800,266000,267000,257800,260200,259800,262400,265500,269300,285500,313700,339400,325500,325100,296000,286700,268600,267600,276400,276700,290000,298200,304200,314600,317700,312500,291600,281800,269000,260100,263700,264200,279700,294900,326000,340100,335300
1931,39787,Milford,Michigan,1932,145100,156700,178700,181600,186200,163100,157400,158200,163400,184100,173700,168900,151500,165700,201100,196500,205100,151600,154200,142600,175700,174200,169900,153400,166000,169100,187600,185700,206800,189400,190700,183400,225900,229900,225800,207100,191000,181800,166400,190300,189200,211100,215400,242500,245500,239200,234300,229900,206300,207000,208600,233300,256800,249700,254100,231400,244100,249900,261900,265300,237600,227000,222700,246700,258300,266400,264300,251700,245900,249800,246200,251100,265900,293200,303100,296400,283100,280000,275500,270100,277300,298800,313900,313100,286800,266300,285000,293100,296600,262300,277100,287700,290100,280800,273000,298400,306000,326600,332300,334000,336000,338900,330500,320900,308000,306300,303200,285400,300900,290300,302400,301200,329000,313500,321900,305000,295600,295500,293000,316400,287400,297600,332900
1932,42816,Menomonie,Wisconsin,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158800,161200,146200,135300,128100,136900,141200,153400,139700,130700,128700,129200,135500,132100,133600,132400,137300,137600,148100,143500,147300,147800,149600,151400,144900,148500,142100,156700,166700,179100,166000,157200,158500,159700,155900,143600,149300,156600,173400,179700,171700,163800,158000,164200,168300,166200,164600,164900,162600,153600,157900,155500,163200,149100,160300,163000,191500,178100,175100,158600,161700,172800,162500,174000,169800,189300
1933,42638,Mandan,North Dakota,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189400,194200,192200,194400,193300,200600,205400,218500,218300,201500,196500,192200,204600,199000,206500,217800,230200,233500,230400,206900,212400,205800,221800,217700,223000,227600,232000,222700,222200,218400,213700,210200,210800,223900,224000,226000,223200,222300,236000,236000,229500,211000,221400,237300,226300,221100,217200,230300,222900,228500,231800,229900,226700,226300,223100,215700,210500,229200,243300,248300,247400,239900,235100,238200,236000,232500,221200,211900,219000,214800,215500,213700,223400,235700,242700,239300,233000,227000,205100,186200,
1934,52776,King George,Virginia,1935,212900,229800,248200,248700,212300,205900,204700,212500,225600,237300,233100,224400,200400,194900,189500,186800,198500,197900,232100,208100,213600,189100,222800,217600,244900,240900,246100,225300,205900,200800,208300,219000,221900,214800,240300,239000,228700,205700,220400,229700,248700,246600,265400,254400,262000,257200,254500,234600,208100,207300,207700,230000,220100,222900,206700,216900,211200,231300,238800,256600,228800,211800,206900,231100,252100,260000,260200,244500,223500,222100,223900,234900,246500,246000,244000,241600,243300,237800,230400,237200,254400,262400,274300,270000,264700,260800,248700,244900,241200,252000,266000,267600,276900,260900,250400,243700,258300,279200,281800,288500,267000,258700,247800,255700,253100,251200,247300,247700,253900,263000,274300,265100,279300,264200,285800,271500,293300,276200,290300,294600,298900,308200,
1935,28195,Chambersburg,Pennsylvania,1936,138900,152000,149100,137000,137200,140000,134300,135300,138700,141700,133900,123500,119400,114900,118500,142700,149500,156700,132200,131800,133200,134800,136600,125300,122400,117800,127200,141000,135200,130300,119900,130400,133200,143800,146200,141900,132500,115300,120000,127100,134800,135100,126100,125000,119400,123300,128600,136600,137400,145600,137300,135000,119000,127800,134400,144700,148000,141100,133500,120000,117600,117700,123700,126400,129700,122600,123400,122600,125700,124400,117100,117600,118900,125600,125900,117600,119800,123700,127800,128200,129100,137300,138800,143200,150900,148400,148800,140400,142600,135700,137200,139300,143300,139600,150500,149400,153600,144600,144300,144600,149100,153000,141700,136100,136700,148100,154000,153700,147200,144400,146500,149200,153300,154100,152600,145000,139000,146000,139500,135600,131500,135400,163700
1936,20391,Scotch Plains,New Jersey,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388900,410100,452000,426800,446700,414000,410100,402600,423800,440600,427600,412800,403300,497900,498300,521000,392200,388100,389400,445300,455900,442400,453300,432500,441800,422800,452300,465000,474500,454400,429800,408900,398100,401200,443700,493200,504100,544600,506600,502800,420400,448100,450400,478000,488100,488700,457700,428500,409700,436400,434900,510500,460500,486700,450700,500100,469600,457200,474400,483200,502000,494100,508000,473900,470300,460900,488400,479100,484600,497500,478000,491800,481100,507600,482200,452700,432400,438400,476900,489100,482100,433400,458900,468400,481200,519500,534400,599100
1937,51736,Douglas,Georgia,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105800,93100,91100,90300,98400,97400,85200,71300,68900,68400,78100,86700,88100,87600,69100,72500,78900,85800,87500,88700,92300,89300,86500,76500,86300,81800,95200,85700,83500,82100,95200,83800,87200,84700,93800,84000,68700,85600,89200,91700,86100,90400,102700,102000,110800,105900,100800,105000,97600,105600,94200,106500,94000,94600,82600,86200,77300,85900,88300,90200,106600,97300,110100,90000,101600,92800,83700,78800,93300,110300,104600,104600,101800,129400,122700,114600,102800,110400,138600
1938,19671,North Kingstown,Rhode Island,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328500,325200,319300,317600,329300,347500,334900,327400,320500,359100,357400,372800,340600,364800,365100,392600,389200,386100,379400,394200,385100,388200,346200,344000,346300,373500,367100,373600,356400,362000,362300,377700,369800,379000
1939,53015,Locust Grove,Georgia,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143600,149200,150800,148000,141700,132400,133300,132600,127300,130200,136800,142000,139100,132000,129400,135400,144200,153500,146800,142100,138000,143300,149800,145700,147100,144700,156700,155600,158100,152500,156800,161400,161800,165100,162000,167000,166000,162600,163200,170000,174500,176200,172600,188100,195300,196700,192900,185100,181900,177000,183400,194700,196600,193700,187300,188600,187800,191100,192600
1940,10985,Crawfordville,Florida,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112900,109400,95200,106400,113900,109600,101500,97800,100400,103400,113500,109900,113400,128800,125500,129900,112400,124900,122800,111300,134500,140100,143900,135100,141200,163800,154300,144700,129100,132000,147500,148800,146100,139000,142100,140700,136500,139700,124000,123300,119700,135800,138900,148200,153800,164400,169200,175300,175000,176200,175100,171600,172700,159300,169500,171700,181400,168500,155300,164600,178600,205900,186800,197000,174000,180700,165100,185600,196500,194800,
1941,16675,Aberdeen,Maryland,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160700,156100,172600,157400,145800,148400,168300,172000,174400,167700,170200,162700,160200,161200,157800,160400,159800,138200,138000,136000,171000,166300,174000,148300,161800,138600,153500,153500,174000,176300,172200,179700,171700,176400,168800,184400,176700,169300,154700,150800,165600,172200,166400,166500,161900,181700,168800,172700,161500,180600,180900,189200,186400,185300,183900,182000,182700,181200,177200,181400,184800,187500,186300,188500,184500,179100,180100,176300,191600,206800,213900,211800,194900,189600,192700,197400,199300,210000,221200,235500,243100,239300
